dateChecked,dateCheckedHour,dateCheckedMinute,dateCheckedDayOfWeek,dateCheckedDayOfMonth,appointmentDaysFound,earliestAppointmentDate,earliestAppointmentDelta
2021-09-11T18:22:00,18,22,5,11,0,,
2021-09-11T18:24:00,18,24,5,11,0,,
2021-09-11T18:26:00,18,26,5,11,0,,
2021-09-11T18:28:00,18,28,5,11,0,,
2021-09-11T18:30:00,18,30,5,11,0,,
2021-09-11T18:32:00,18,32,5,11,0,,
2021-09-11T18:34:00,18,34,5,11,0,,
2021-09-11T18:36:00,18,36,5,11,2,2021-10-19T00:00:00,38
2021-09-11T18:38:00,18,38,5,11,0,,
2021-09-11T18:40:00,18,40,5,11,0,,
2021-09-11T18:42:00,18,42,5,11,0,,
2021-09-11T18:44:00,18,44,5,11,0,,
2021-09-11T18:46:00,18,46,5,11,0,,
2021-09-11T18:48:00,18,48,5,11,0,,
2021-09-11T18:50:00,18,50,5,11,0,,
2021-09-11T18:52:00,18,52,5,11,0,,
2021-09-11T18:54:00,18,54,5,11,0,,
2021-09-11T18:56:00,18,56,5,11,0,,
2021-09-11T18:58:00,18,58,5,11,0,,
2021-09-11T19:00:00,19,0,5,11,0,,
2021-09-11T19:02:00,19,2,5,11,0,,
2021-09-11T19:04:00,19,4,5,11,0,,
2021-09-11T19:06:00,19,6,5,11,0,,
2021-09-11T19:08:00,19,8,5,11,0,,
2021-09-11T19:10:00,19,10,5,11,0,,
2021-09-11T19:12:00,19,12,5,11,0,,
2021-09-11T19:14:00,19,14,5,11,0,,
2021-09-11T19:16:00,19,16,5,11,1,2021-11-05T00:00:00,55
2021-09-11T19:18:00,19,18,5,11,0,,
2021-09-11T19:20:00,19,20,5,11,0,,
2021-09-11T19:22:00,19,22,5,11,0,,
2021-09-11T19:24:00,19,24,5,11,0,,
2021-09-11T19:26:00,19,26,5,11,0,,
2021-09-11T19:28:00,19,28,5,11,0,,
2021-09-11T19:30:00,19,30,5,11,0,,
2021-09-11T19:32:00,19,32,5,11,0,,
2021-09-11T19:34:00,19,34,5,11,0,,
2021-09-11T19:36:00,19,36,5,11,0,,
2021-09-11T19:38:00,19,38,5,11,0,,
2021-09-11T19:40:00,19,40,5,11,0,,
2021-09-11T19:42:00,19,42,5,11,0,,
2021-09-11T19:44:00,19,44,5,11,0,,
2021-09-11T19:46:00,19,46,5,11,0,,
2021-09-11T19:48:00,19,48,5,11,0,,
2021-09-11T19:50:00,19,50,5,11,0,,
2021-09-11T19:52:00,19,52,5,11,0,,
2021-09-11T19:54:00,19,54,5,11,0,,
2021-09-11T19:56:00,19,56,5,11,0,,
2021-09-11T19:58:00,19,58,5,11,0,,
2021-09-11T20:00:00,20,0,5,11,0,,
2021-09-11T20:02:00,20,2,5,11,0,,
2021-09-11T20:04:00,20,4,5,11,0,,
2021-09-11T20:06:00,20,6,5,11,0,,
2021-09-11T20:08:00,20,8,5,11,0,,
2021-09-11T20:10:00,20,10,5,11,0,,
2021-09-11T20:12:00,20,12,5,11,0,,
2021-09-11T20:14:00,20,14,5,11,0,,
2021-09-11T20:16:00,20,16,5,11,0,,
2021-09-11T20:18:00,20,18,5,11,0,,
2021-09-11T20:20:00,20,20,5,11,0,,
2021-09-11T20:22:00,20,22,5,11,0,,
2021-09-11T20:24:00,20,24,5,11,0,,
2021-09-11T20:26:00,20,26,5,11,0,,
2021-09-11T20:28:00,20,28,5,11,0,,
2021-09-11T20:30:00,20,30,5,11,0,,
2021-09-11T20:32:00,20,32,5,11,0,,
2021-09-11T20:34:00,20,34,5,11,0,,
2021-09-11T20:36:00,20,36,5,11,0,,
2021-09-11T20:38:00,20,38,5,11,0,,
2021-09-11T20:40:00,20,40,5,11,0,,
2021-09-11T20:42:00,20,42,5,11,0,,
2021-09-11T20:44:00,20,44,5,11,0,,
2021-09-11T20:46:00,20,46,5,11,0,,
2021-09-11T20:48:00,20,48,5,11,0,,
2021-09-11T20:50:00,20,50,5,11,0,,
2021-09-11T20:52:00,20,52,5,11,0,,
2021-09-11T20:54:00,20,54,5,11,0,,
2021-09-11T20:56:00,20,56,5,11,1,2021-09-13T00:00:00,2
2021-09-11T20:58:00,20,58,5,11,0,,
2021-09-11T21:00:00,21,0,5,11,0,,
2021-09-11T21:02:00,21,2,5,11,0,,
2021-09-11T21:04:00,21,4,5,11,0,,
2021-09-11T21:06:00,21,6,5,11,0,,
2021-09-11T21:08:00,21,8,5,11,0,,
2021-09-11T21:10:00,21,10,5,11,0,,
2021-09-11T21:12:00,21,12,5,11,0,,
2021-09-11T21:14:00,21,14,5,11,0,,
2021-09-11T21:16:00,21,16,5,11,0,,
2021-09-11T21:18:00,21,18,5,11,0,,
2021-09-11T21:20:00,21,20,5,11,0,,
2021-09-11T21:22:00,21,22,5,11,0,,
2021-09-11T21:24:00,21,24,5,11,0,,
2021-09-11T21:26:00,21,26,5,11,0,,
2021-09-11T21:28:00,21,28,5,11,0,,
2021-09-11T21:30:00,21,30,5,11,0,,
2021-09-11T21:32:00,21,32,5,11,0,,
2021-09-11T21:34:00,21,34,5,11,0,,
2021-09-11T21:36:00,21,36,5,11,0,,
2021-09-11T21:38:00,21,38,5,11,0,,
2021-09-11T21:40:00,21,40,5,11,0,,
2021-09-11T21:42:00,21,42,5,11,0,,
2021-09-11T21:44:00,21,44,5,11,0,,
2021-09-11T21:46:00,21,46,5,11,0,,
2021-09-11T21:48:00,21,48,5,11,0,,
2021-09-11T21:50:00,21,50,5,11,0,,
2021-09-11T21:52:00,21,52,5,11,0,,
2021-09-11T21:54:00,21,54,5,11,0,,
2021-09-11T21:56:00,21,56,5,11,0,,
2021-09-11T21:58:00,21,58,5,11,0,,
2021-09-11T22:00:00,22,0,5,11,0,,
2021-09-11T22:02:00,22,2,5,11,0,,
2021-09-11T22:04:00,22,4,5,11,0,,
2021-09-11T22:06:00,22,6,5,11,0,,
2021-09-11T22:08:00,22,8,5,11,0,,
2021-09-11T22:10:00,22,10,5,11,0,,
2021-09-11T22:12:00,22,12,5,11,0,,
2021-09-11T22:14:00,22,14,5,11,0,,
2021-09-11T22:16:00,22,16,5,11,1,2021-09-13T00:00:00,2
2021-09-11T22:18:00,22,18,5,11,0,,
2021-09-11T22:20:00,22,20,5,11,0,,
2021-09-11T22:22:00,22,22,5,11,0,,
2021-09-11T22:24:00,22,24,5,11,0,,
2021-09-11T22:26:00,22,26,5,11,0,,
2021-09-11T22:28:00,22,28,5,11,0,,
2021-09-11T22:30:00,22,30,5,11,0,,
2021-09-11T22:32:00,22,32,5,11,0,,
2021-09-11T22:34:00,22,34,5,11,0,,
2021-09-11T22:36:00,22,36,5,11,0,,
2021-09-11T22:38:00,22,38,5,11,0,,
2021-09-11T22:40:00,22,40,5,11,0,,
2021-09-11T22:42:00,22,42,5,11,0,,
2021-09-11T22:44:00,22,44,5,11,0,,
2021-09-11T22:46:00,22,46,5,11,0,,
2021-09-11T22:48:00,22,48,5,11,0,,
2021-09-11T22:50:00,22,50,5,11,0,,
2021-09-11T22:52:00,22,52,5,11,0,,
2021-09-11T22:54:00,22,54,5,11,0,,
2021-09-11T22:56:00,22,56,5,11,0,,
2021-09-11T22:58:00,22,58,5,11,0,,
2021-09-11T23:00:00,23,0,5,11,0,,
2021-09-11T23:02:00,23,2,5,11,0,,
2021-09-11T23:04:00,23,4,5,11,0,,
2021-09-11T23:06:00,23,6,5,11,0,,
2021-09-11T23:08:00,23,8,5,11,0,,
2021-09-11T23:10:00,23,10,5,11,0,,
2021-09-11T23:12:00,23,12,5,11,0,,
2021-09-11T23:14:00,23,14,5,11,0,,
2021-09-11T23:16:00,23,16,5,11,0,,
2021-09-11T23:18:00,23,18,5,11,0,,
2021-09-11T23:20:00,23,20,5,11,0,,
2021-09-11T23:22:00,23,22,5,11,0,,
2021-09-11T23:24:00,23,24,5,11,0,,
2021-09-11T23:26:00,23,26,5,11,0,,
2021-09-11T23:28:00,23,28,5,11,0,,
2021-09-11T23:30:00,23,30,5,11,0,,
2021-09-11T23:32:00,23,32,5,11,0,,
2021-09-11T23:34:00,23,34,5,11,0,,
2021-09-11T23:36:00,23,36,5,11,0,,
2021-09-11T23:38:00,23,38,5,11,0,,
2021-09-11T23:40:00,23,40,5,11,0,,
2021-09-11T23:42:00,23,42,5,11,0,,
2021-09-11T23:44:00,23,44,5,11,0,,
2021-09-11T23:46:00,23,46,5,11,0,,
2021-09-11T23:48:00,23,48,5,11,0,,
2021-09-11T23:50:00,23,50,5,11,0,,
2021-09-11T23:52:00,23,52,5,11,0,,
2021-09-11T23:54:00,23,54,5,11,0,,
2021-09-11T23:56:00,23,56,5,11,0,,
2021-09-11T23:58:00,23,58,5,11,0,,
2021-09-12T00:00:00,0,0,6,12,0,,
2021-09-12T00:02:00,0,2,6,12,0,,
2021-09-12T00:04:00,0,4,6,12,0,,
2021-09-12T00:06:00,0,6,6,12,0,,
2021-09-12T00:08:00,0,8,6,12,0,,
2021-09-12T00:10:00,0,10,6,12,0,,
2021-09-12T00:12:00,0,12,6,12,0,,
2021-09-12T00:14:00,0,14,6,12,0,,
2021-09-12T00:16:00,0,16,6,12,0,,
2021-09-12T00:18:00,0,18,6,12,0,,
2021-09-12T00:20:00,0,20,6,12,0,,
2021-09-12T00:22:00,0,22,6,12,0,,
2021-09-12T00:24:00,0,24,6,12,0,,
2021-09-12T00:26:00,0,26,6,12,0,,
2021-09-12T00:28:00,0,28,6,12,0,,
2021-09-12T00:30:00,0,30,6,12,0,,
2021-09-12T00:32:00,0,32,6,12,0,,
2021-09-12T00:34:00,0,34,6,12,0,,
2021-09-12T00:36:00,0,36,6,12,0,,
2021-09-12T00:38:00,0,38,6,12,0,,
2021-09-12T00:40:00,0,40,6,12,0,,
2021-09-12T00:42:00,0,42,6,12,0,,
2021-09-12T00:44:00,0,44,6,12,0,,
2021-09-12T00:46:00,0,46,6,12,0,,
2021-09-12T00:48:00,0,48,6,12,0,,
2021-09-12T00:50:00,0,50,6,12,0,,
2021-09-12T00:52:00,0,52,6,12,0,,
2021-09-12T00:54:00,0,54,6,12,0,,
2021-09-12T00:56:00,0,56,6,12,0,,
2021-09-12T00:58:00,0,58,6,12,0,,
2021-09-12T01:00:00,1,0,6,12,0,,
2021-09-12T01:02:00,1,2,6,12,0,,
2021-09-12T01:04:00,1,4,6,12,0,,
2021-09-12T01:06:00,1,6,6,12,0,,
2021-09-12T01:08:00,1,8,6,12,0,,
2021-09-12T01:10:00,1,10,6,12,0,,
2021-09-12T01:12:00,1,12,6,12,0,,
2021-09-12T01:14:00,1,14,6,12,0,,
2021-09-12T01:16:00,1,16,6,12,0,,
2021-09-12T01:18:00,1,18,6,12,0,,
2021-09-12T01:20:00,1,20,6,12,0,,
2021-09-12T01:22:00,1,22,6,12,0,,
2021-09-12T01:24:00,1,24,6,12,0,,
2021-09-12T01:26:00,1,26,6,12,0,,
2021-09-12T01:28:00,1,28,6,12,0,,
2021-09-12T01:30:00,1,30,6,12,0,,
2021-09-12T01:32:00,1,32,6,12,0,,
2021-09-12T01:34:00,1,34,6,12,0,,
2021-09-12T01:36:00,1,36,6,12,1,2021-09-15T00:00:00,3
2021-09-12T01:38:00,1,38,6,12,0,,
2021-09-12T01:40:00,1,40,6,12,0,,
2021-09-12T01:42:00,1,42,6,12,0,,
2021-09-12T01:44:00,1,44,6,12,0,,
2021-09-12T01:46:00,1,46,6,12,0,,
2021-09-12T01:48:00,1,48,6,12,0,,
2021-09-12T01:50:00,1,50,6,12,0,,
2021-09-12T01:52:00,1,52,6,12,0,,
2021-09-12T01:54:00,1,54,6,12,0,,
2021-09-12T01:56:00,1,56,6,12,0,,
2021-09-12T01:58:00,1,58,6,12,0,,
2021-09-12T02:00:00,2,0,6,12,0,,
2021-09-12T02:02:00,2,2,6,12,0,,
2021-09-12T02:04:00,2,4,6,12,0,,
2021-09-12T02:06:00,2,6,6,12,0,,
2021-09-12T02:08:00,2,8,6,12,0,,
2021-09-12T02:10:00,2,10,6,12,0,,
2021-09-12T02:12:00,2,12,6,12,0,,
2021-09-12T02:14:00,2,14,6,12,0,,
2021-09-12T02:16:00,2,16,6,12,0,,
2021-09-12T02:18:00,2,18,6,12,0,,
2021-09-12T02:20:00,2,20,6,12,0,,
2021-09-12T02:22:00,2,22,6,12,0,,
2021-09-12T02:24:00,2,24,6,12,0,,
2021-09-12T02:26:00,2,26,6,12,0,,
2021-09-12T02:28:00,2,28,6,12,0,,
2021-09-12T02:30:00,2,30,6,12,0,,
2021-09-12T02:32:00,2,32,6,12,0,,
2021-09-12T02:34:00,2,34,6,12,0,,
2021-09-12T02:36:00,2,36,6,12,0,,
2021-09-12T02:38:00,2,38,6,12,0,,
2021-09-12T02:40:00,2,40,6,12,0,,
2021-09-12T02:42:00,2,42,6,12,0,,
2021-09-12T02:44:00,2,44,6,12,0,,
2021-09-12T02:46:00,2,46,6,12,0,,
2021-09-12T02:48:00,2,48,6,12,0,,
2021-09-12T02:50:00,2,50,6,12,0,,
2021-09-12T02:52:00,2,52,6,12,0,,
2021-09-12T02:54:00,2,54,6,12,0,,
2021-09-12T02:56:00,2,56,6,12,1,2021-09-28T00:00:00,16
2021-09-12T02:58:00,2,58,6,12,0,,
2021-09-12T03:00:00,3,0,6,12,0,,
2021-09-12T03:02:00,3,2,6,12,0,,
2021-09-12T03:04:00,3,4,6,12,0,,
2021-09-12T03:06:00,3,6,6,12,0,,
2021-09-12T03:08:00,3,8,6,12,0,,
2021-09-12T03:10:00,3,10,6,12,0,,
2021-09-12T03:12:00,3,12,6,12,0,,
2021-09-12T03:14:00,3,14,6,12,0,,
2021-09-12T03:16:00,3,16,6,12,0,,
2021-09-12T03:18:00,3,18,6,12,0,,
2021-09-12T03:20:00,3,20,6,12,0,,
2021-09-12T03:22:00,3,22,6,12,0,,
2021-09-12T03:24:00,3,24,6,12,0,,
2021-09-12T03:26:00,3,26,6,12,0,,
2021-09-12T03:28:00,3,28,6,12,0,,
2021-09-12T03:30:00,3,30,6,12,0,,
2021-09-12T03:32:00,3,32,6,12,0,,
2021-09-12T03:34:00,3,34,6,12,0,,
2021-09-12T03:36:00,3,36,6,12,0,,
2021-09-12T03:38:00,3,38,6,12,0,,
2021-09-12T03:40:00,3,40,6,12,0,,
2021-09-12T03:42:00,3,42,6,12,0,,
2021-09-12T03:44:00,3,44,6,12,0,,
2021-09-12T03:46:00,3,46,6,12,0,,
2021-09-12T03:48:00,3,48,6,12,0,,
2021-09-12T03:50:00,3,50,6,12,0,,
2021-09-12T03:52:00,3,52,6,12,0,,
2021-09-12T03:54:00,3,54,6,12,0,,
2021-09-12T03:56:00,3,56,6,12,0,,
2021-09-12T03:58:00,3,58,6,12,0,,
2021-09-12T04:00:00,4,0,6,12,0,,
2021-09-12T04:02:00,4,2,6,12,0,,
2021-09-12T04:04:00,4,4,6,12,0,,
2021-09-12T04:06:00,4,6,6,12,0,,
2021-09-12T04:08:00,4,8,6,12,0,,
2021-09-12T04:10:00,4,10,6,12,0,,
2021-09-12T04:12:00,4,12,6,12,0,,
2021-09-12T04:14:00,4,14,6,12,0,,
2021-09-12T04:16:00,4,16,6,12,0,,
2021-09-12T04:18:00,4,18,6,12,0,,
2021-09-12T04:20:00,4,20,6,12,0,,
2021-09-12T04:22:00,4,22,6,12,0,,
2021-09-12T04:24:00,4,24,6,12,0,,
2021-09-12T04:26:00,4,26,6,12,0,,
2021-09-12T04:28:00,4,28,6,12,0,,
2021-09-12T04:30:00,4,30,6,12,0,,
2021-09-12T04:32:00,4,32,6,12,0,,
2021-09-12T04:34:00,4,34,6,12,0,,
2021-09-12T04:36:00,4,36,6,12,0,,
2021-09-12T04:38:00,4,38,6,12,0,,
2021-09-12T04:40:00,4,40,6,12,0,,
2021-09-12T04:42:00,4,42,6,12,0,,
2021-09-12T04:44:00,4,44,6,12,0,,
2021-09-12T04:46:00,4,46,6,12,0,,
2021-09-12T04:48:00,4,48,6,12,0,,
2021-09-12T04:50:00,4,50,6,12,0,,
2021-09-12T04:52:00,4,52,6,12,0,,
2021-09-12T04:54:00,4,54,6,12,0,,
2021-09-12T04:56:00,4,56,6,12,0,,
2021-09-12T04:58:00,4,58,6,12,0,,
2021-09-12T05:00:00,5,0,6,12,0,,
2021-09-12T05:02:00,5,2,6,12,0,,
2021-09-12T05:04:00,5,4,6,12,0,,
2021-09-12T05:06:00,5,6,6,12,0,,
2021-09-12T05:08:00,5,8,6,12,0,,
2021-09-12T05:10:00,5,10,6,12,0,,
2021-09-12T05:12:00,5,12,6,12,0,,
2021-09-12T05:14:00,5,14,6,12,0,,
2021-09-12T05:16:00,5,16,6,12,0,,
2021-09-12T05:18:00,5,18,6,12,0,,
2021-09-12T05:20:00,5,20,6,12,0,,
2021-09-12T05:22:00,5,22,6,12,0,,
2021-09-12T05:24:00,5,24,6,12,0,,
2021-09-12T05:26:00,5,26,6,12,0,,
2021-09-12T05:28:00,5,28,6,12,0,,
2021-09-12T05:30:00,5,30,6,12,0,,
2021-09-12T05:32:00,5,32,6,12,0,,
2021-09-12T05:34:00,5,34,6,12,0,,
2021-09-12T05:36:00,5,36,6,12,0,,
2021-09-12T05:38:00,5,38,6,12,0,,
2021-09-12T05:40:00,5,40,6,12,0,,
2021-09-12T05:42:00,5,42,6,12,0,,
2021-09-12T05:44:00,5,44,6,12,0,,
